Constructed from biom file																																											
OTU ID	107	108	13	146	1851A	1851B	1851C	1852A	1852B	1852C	1853A	1853B	1853C	351	3621A	3621B	3621C	3622A	3622B	3622C	3623A	3623B	3623C	379	64	89	Aip24B	CX	MF1A	MF1B	MF1C	MF2A	MF2B	MF2C	MF3A	MF3B	MF3C	MacPC	RT13	RT146	RT351	RT64	taxonomy
OTU_1209	1	1	0	0	0	1	3	1	2	1	0	1	2	0	1	0	1	1	0	0	1	1	0	5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter
OTU_1221	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	4	0	0	0	0	1	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia
OTU_1222	11	2	12	61	15	15	12	10	11	13	20	19	25	18	9	12	9	6	4	8	5	6	4	38	3	7	93	10	14	6	10	13	8	13	6	14	13	4821	10	15	19	11	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia
OTU_1224	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_123	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured; uncultured bacterium
OTU_1233	1	1	1	2	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	142	1	1	4	0	2	0	0	0	1	1	0	0	0	3	0	1	0	1	Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; NS11-12 marine group; uncultured bacterium
OTU_1237	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	3	10	0	2	1	0	0	0	1	1	0	56	0	0	1	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Luteivirga; uncultured organism
OTU_1239	33	39	110	2263	35	32	27	34	40	31	34	29	73	61	42	39	23	20	44	38	39	38	29	44	22	19	37880	48	56	30	37	72	63	74	52	47	80	93	41	79	80	75	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Meridianimaribacter
OTU_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured; uncultured bacterium
OTU_1245	0	0	0	0	1	0	0	0	1	0	2	2	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	45	1	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Gracilimonas; uncultured bacterium
OTU_1258	51	19	88	17596	22	17	21	14	15	32	19	17	34	25	17	18	19	11	12	15	10	20	17	28	13	19	2004	26	32	31	11	41	37	44	30	45	53	44	31	55	82	50	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Winogradskyella
OTU_1273	0	0	0	1	2	1	2	0	3	1	2	0	4	1	5	10	5	5	9	2	5	2	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1291	1	0	0	1	1	5	2	0	6	1	1	3	2	0	0	0	0	0	0	0	1	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1294	0	1	2	0	2	0	0	1	0	1	2	2	3	2	1	3	1	2	2	1	0	1	2	2	1	1	1	0	1	1	2	0	0	0	1	1	0	1	0	1	0	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1302	1	0	1	0	0	0	2	0	0	1	0	1	0	2	6	7	0	5	7	11	8	6	6	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1305	18	62	13	130	124	155	172	136	132	170	125	124	219	338	293	320	206	266	371	322	421	341	311	13965	89	41	133	22	14	14	12	10	12	16	11	21	11	22	90	100	134	7	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1307	59	106	70	91	48	31	40	45	47	54	47	64	145	3	25	19	21	39	42	30	25	24	21	22	6	4	101	3	23	19	16	47	55	83	74	73	109	7	30	52	28	48	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Muricauda; uncultured bacterium
OTU_1316	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0	11	1	0	1	4	0	0	0	4	1	2	1	0	1	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Fabibacter
OTU_1317	45	19	3	107	13	18	15	8	16	9	19	21	31	6905	15	16	11	17	24	16	29	14	18	35	21	14	362	70	60	41	42	54	46	26	42	49	47	164	14	23	56	16	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Reichenbachiella
