ko00561	ko00564	ko04972	ko05111	ko02030	ko02060	ko04080	ko01054	ko00901	ko00300	ko00360	ko00906	ko00190	ko04961	ko01053	ko04115	ko00500	ko02040	ko03070	ko00061	ko00062	ko02025	ko01051	ko04974	ko04973	ko02026
K13517	K16368	K04959	K02452		K02819	K04162	K16120		K05825	K18359	K17911	K05584			K10132	K00694	K13820	K02464	K03922		K20971	K16038	K05849		K07689
K13519	K00994	K04960	K02453		K11191	K04163	K16121		K00143	K00628	K17912	K05585			K13773	K01179	K02556	K03072	K01897		K20972	K16039	K05334		K18515
K13523	K13644	K04962	K02454		K11192	K05051	K15661		K00293	K15517	K17913	K05586			K10133	K19357	K02557	K12257	K15013		K07689		K06519		K18516
K01080	K01114	K01242	K02455		K02798	K04166	K15662		K00290	K14454	K09879	K05587			K10134	K01225	K21217	K03074			K20969		K13781		K03563
K15728	K16619	K18152	K02456		K02799	K04167	K15663		K05827	K14455	K14596	K05588			K10135	K19668	K21218	K03073			K20970		K08187		K00975
K18693	K18694	K14077	K02457		K02800	K04168	K15666		K05828	K00811	K09844	K03878			K10136	K00702	K02399	K03075			K03563		K14210		K00703
K00901	K01115	K05853	K02458		K11198	K04169	K15667		K05829	K00812	K09845	K03879			K10137	K02759	K02413	K03076			K20973		K13868		K00688
K07029	K16860	K05027	K02459		K11199	K04170	K15668		K05830	K00813	K09846	K03880			K04506	K02760	K02422	K03210			K20974		K13867		K11935
K00635	K17717	K05028	K02460		K11200	K03915	K15664		K05831	K11358	K09847	K03881			K08738	K02761	K02423	K03217			K20975		K14211		K11931
K11155	K00650	K05030	K02461		K02786	K03916	K15665		K01928	K15849	K14597	K03882			K02084	K01222	K02386	K03070			K20976		K06236		K11936
K11160	K01047	K04964	K02462		K02787	K04010	K16122		K01929	K00815	K14598	K03883			K04399	K01223		K13301			K20977		K19719		K11937
K14456	K16342	K10951	K02463		K02788	K04009	K16123		K15792	K00817	K10208	K03884			K02187	K00978		K03110			K20978		K19720		K04761
K18851	K16343	K01539	K20951		K02759	K04172	K16124		K16180	K00832	K10209	K03934			K10138	K00975		K03071			K02398		K06237		K18528
K00679	K14621	K01540	K20952		K02760	K04173	K16125		K16181	K00838	K10210	K03935			K05459	K18447		K03106			K02405		K19721		K07648
K01046	K14674	K01538	K20953		K02761	K04174	K16126		K16182	K05821	K10211	K03936			K03982	K00703		K03116			K11912		K06238		K07773
K12298	K16817	K04926	K10920		K02793	K04194	K16127			K00270	K10212	K03937			K04596	K13679		K03117			K11915		K16628		K18504
K16816	K01058	K04936	K10919		K02794	K04195	K16128			K03334	K17842	K03938			K06509	K20812		K03118			K11890		K08131		K18502
K13534	K13510	K05850	K10921		K02795	K04196	K16129			K12732	K17819	K03939			K16857	K00693		K03425			K11891		K19479		K07677
K14073	K13512	K05742	K10922		K02796	K04197	K16130			K00055		K03940			K10139	K00750		K11028			K11893		K08132		K07676
K14074	K13515	K13855	K10923		K19506	K04198	K16131			K00457		K03941			K10140	K16150		K11017			K11913		K16617		K07687
K14075	K16818	K04588	K10940		K19507	K04199	K16132			K18852		K03942			K10808	K16153		K11016			K11902		K08133		K07781
K14076	K22389	K04632	K08720		K19508	K04200	K01779			K00285		K03943			K10141	K00700		K12341			K11901		K08135		K18518
K22283	K06128	K08041	K10930		K19509	K04201	K16133			K00824		K03944			K20394	K16149		K12342			K11900		K07603		K03566
K14452	K06129	K08042	K10931		K11194	K04202	K16134			K07253		K03945			K01110	K00688		K03194			K11903		K06823		K03567
K22284	K06130	K08043	K10932		K11195	K04203				K18606		K03946			K07207	K01196		K03197			K11895		K16629		K18521
K14675	K13333	K08044	K10933		K11196	K04204				K21795		K03947			K10142	K02438		K03198			K11907		K16630		K07638
K14674	K01048	K08045	K10934		K02771	K04205				K03782		K03948			K10143	K01200		K03200			K13487				K07659
K17900	K14676	K08046	K10935		K02812	K04206				K01426		K03949			K10144	K01176		K03202			K13490				K18522
K01059	K18695	K08047	K10961		K02813	K04207				K10437		K03950			K10145	K07405		K03204			K13488				K18523
K09881	K18696	K08048	K10962		K02814	K04208				K10775		K03951			K10146	K05343		K03201			K13489				K21091
K01054	K01126	K08049	K10963		K02815	K04209				K13064		K03952			K10147	K01177		K03203			K13491				K18509
K14458	K00623	K05031	K10964		K02744	K04210				K01451		K03953			K10148	K05992		K03195			K11444				
K14457	K01049	K14078	K10965		K02745	K04211				K10797		K03954				K01208		K03199			K21019				
K19002	K00866	K13575	K10936		K02746	K04212				K05708		K03955				K01178		K03196			K21020				
K03429	K14156	K18245	K10937		K02747	K04213				K05709		K03956				K21574		K03205			K21021				
K19004	K06124		K10938		K10984	K04214				K05710		K11352				K01182		K11904			K21022				
K19003	K00968		K10939		K10985	K04215				K00529		K11353				K05988		K11903			K21023				
K20024	K00993		K10928		K10986	K04216				K05711		K03957				K00705		K11906			K21024				
K13677	K05939		K10929		K17464	K04217				K05712		K03958				K22451		K11891			K20997				
K19005	K00894		K10913		K17465	K04218				K05713		K03959				K16146		K11892			K16011				
K06118	K00967		K08604		K17466	K04219				K05714		K03960				K16147		K11907			K12992				
K06119	K05929		K07678		K17467	K04220				K02554		K03961				K16148		K11912			K20987				
K03715	K04019		K07689		K02781	K04221				K01666		K03962				K00691		K11913			K20998				
K09480	K03735		K18515		K02782	K04222				K04073		K03963				K01838		K11915			K20999				
K01189	K03736		K03563		K02783	K04223				K00487		K03964				K02777					K21000				
K07406	K14286		K02777		K02773	K04224				K01904		K03965				K02790					K21001				
K07407	K00551		K02778		K02774	K04225				K00588		K03966				K02791					K21002				
K21362	K16369		K02779		K02775	K04226				K18383		K11351				K20107					K21003				
K06120	K00550		K05851		K20112	K04227						K03967				K20108					K21004				
K06121	K00570		K10914		K20113	K04228						K03968				K02749					K21005				
K06122	K01521		K03557		K20114	K04229						K00356				K02750					K21006				
K00086	K00981		K20954		K02821	K04230						K03885				K06896					K21007				
	K01004		K20955		K02822	K04231						K00234				K01232					K21008				
	K00998		K20956		K03475	K04232						K00235				K00701					K21009				
	K17103		K20957		K11183	K04233						K00236				K01214					K21010				
	K08729		K20958		K02768	K01313						K00237				K06044					K21011				
	K08730		K20959		K02769	K01319						K00239				K01236					K21012				
	K01613		K20960		K02770	K01352						K00240				K13057					K19291				
	K00995		K20961		K08484	K01315						K00241				K00697					K21025				
	K01094		K20962		K08485	K01312						K00242				K01087									
	K01095		K20963		K02806	K03914						K18859				K16055									
	K01096		K13246			K04234						K18860				K22337									
	K18697		K07181			K04235						K00244				K01194									
	K06131		K20964			K04236						K00245				K05342									
	K06132		K20965			K04237						K00246				K02817									
	K08744		K20966			K04238						K00247				K02818									
	K13511		K12276			K04239						K00411				K02819									
	K13535		K10924			K04240						K00412				K01226									
	K13514		K10925			K08375						K00413				K01835									
	K00999		K10926			K04241						K00410				K15778									
	K13516		K10927			K05052						K00414				K15779									
	K13621		K10941			K05053						K00415				K00844									
	K13622		K03092			K04320						K00416				K12407									
	K13623		K03087			K05054						K00417				K00845									
	K00096		K10942			K05250						K00418				K01084									
	K17104		K10943			K04247						K00419				K11809									
	K17105		K02405			K05251						K00420				K01810									
	K19664					K04248						K03886				K06859									
	K19665					K04249						K03887				K13810									
	K17830					K04332						K03888				K15916									
						K04258						K03889				K00847									
						K04259						K03890													
						K04260						K03891													
						K04261						K02257													
						K04262						K02300													
						K04263						K02277													
						K04264						K02276													
						K04265						K02274													
						K04266						K15408													
