OTUID	X107	X108	X13	X146	X1851A	X1851B	X1851C	X1852A	X1852B	X1852C	X1853A	X1853B	X1853C	X351	X3621A	X3621B	X3621C	X3622A	X3622B	X3622C	X3623A	X3623B	X3623C	X379	X64	X89	Aip24B	CX	MF1A	MF1B	MF1C	MF2A	MF2B	MF2C	MF3A	MF3B	MF3C	MacPC	RT13	RT146	RT351	RT64
ko00072	246563.5333	252348.9167	308045.5333	247883.15	246782.775	235566.85	254160.4667	196212.3167	210206.3167	264764.0583	230160.8667	190479.9833	318749.9083	231703.2083	263964.5833	264248.0583	182836.8583	178454.5417	231385.1917	230256.2917	208915	191892.975	185927.575	191356.0583	212186.5083	343406.85	329896.7083	200569.1833	474032.475	383355.8417	342639.725	322424.9417	332533.875	422432.8583	324063.4083	476788.35	437398.575	321338.1917	235995.7667	189353.3917	179902.8167	186943.2
ko00100	1.2	3.2	0.6	2	2.2	1.8	1.6	1.8	1	1	0.8	1.8	1.8	0.8	3	0.4	3.6	2.6	2.4	3	0.4	1.6	1.6	5.8	1	3.4	0.4	3	3.6	5.6	2.4	1	1.2	1.6	1.6	2.6	4.2	54.8	122.6	1.2	34	1.2
ko00120	22381.69444	25388.27222	27922.16111	27239.00556	21825.21111	20772.01667	22205.2	19608.13889	20338.13889	25682.46111	23636.15	19650.92778	33901.27222	35749.56111	22980.71667	23736.87778	16423.90556	17332.85	21672.39444	23404.3	22051.78333	20208.62222	19784.33333	9786.244444	16626.59444	36346.37222	13818.03889	22762.84444	30335.5	25957.30556	21579.58889	24249.6	23215.22222	30387.65556	24506.75	36971.74444	33867.48889	33345.43333	19978.65	15663.25556	20296.20556	15499.95
ko00121	18532.08333	20365.71667	22684.15	21934.31667	13175.275	12616.61667	12569.45	12466.93333	12241.11667	15904.20833	15029.01667	12763.8	22227.225	18669.70833	14941.96667	15726.34167	10898.85833	12421.64167	16179.775	18263.625	16473.68333	15247.65833	14278.04167	5487.208333	8040.391667	25828.15	13492.89167	21694.88333	23785.75833	19917.95833	16070.075	19010.025	18601.475	24488.40833	19388.50833	29836.26667	27027.725	29557.95833	17332.55	12997.125	21268.13333	12881.26667
ko00130	318401.0194	311713.8778	366794.6667	342098.9278	279239.2778	266414.6556	281346.9278	219847.6278	233676.625	296897.0556	254457.6611	211677.1111	357480.4056	203108.5472	311779.9556	312247.1306	215829.6694	216439.8056	286266	289839.6667	255446.9222	235009.4972	221442.0556	208895.8694	220073.6722	399695.1056	513144.1278	266698.4667	460529.1861	360898.7389	323090.9556	308212.3778	317039.7667	405363.825	313598.1444	464200.0167	417957.1333	315330.7361	274572.8139	244176.4639	249813.4611	236048.5417
ko00140	94726.61667	96442.8	96790	44370.38333	50358.75	48646.3	42476.71667	44627.18333	41268.53333	55843.31667	48581.18333	42489.9	75750.96667	14829.65	67305.61667	70205.83333	48837.83333	57470.45	80721.88333	91197.96667	75645.96667	70012.7	61477.03333	18223.03333	16654.23333	109030.3833	53207.23333	103325.4167	136883.6	110334.1333	87178.71667	106181.6833	108895.3333	141606.8833	107603.7667	167914.4	153708.0333	18162.66667	83071.76667	63555.48333	97819.28333	60066.48333
ko00190	1376760.664	1370524.128	1604993.772	1201709.811	1108503.456	1057867.683	1103993.1	927775.9444	962709.1694	1232085.106	1095307.567	916215.8389	1564512.094	1074245.714	1233369.533	1255070.047	867335.4528	907850.7167	1188061.072	1250055.317	1115790.65	1029043.303	970200.95	693880.0639	820608.0222	1773789.378	1695438.011	1294717.539	1709362.758	1366190.711	1182573.761	1233727.9	1231272.378	1592750.919	1262453.267	1895679.122	1697214.494	1340043.792	1154291.225	1034391.019	1222023.311	1018587.108
ko00195	249288.1306	250857.4444	303208.4056	276424.4278	229802.2806	218999.2667	233702.2667	183085.8611	195885.6528	248097.8306	215646.9167	179521.6556	302290.0194	189783.0389	251065.65	251653.3389	174026.3778	173966.225	227473.8306	229555.0083	204961.6167	188677.6111	179408.325	154186.0056	186134.3139	322841.0944	464266.9528	214131.2556	336127.8833	266773.8694	236465.6694	237041.825	238317.8028	305389.1278	239042.5083	357657.0222	321870.5028	261879.5	205962.0083	200793.5111	202835.0944	196951.675
ko00220	587605.175	603228.8833	697954.3333	559296.3667	540215.3417	514894.5333	546139.1667	435027.0833	460563.9583	584819.0083	507454.1167	422191.5167	714987.1083	479305.25	593276.45	597695.05	412933.6	417486.2083	545693.875	558717.1417	498827.3833	458926.7833	436670.6583	343398.85	425638.125	793364.5833	807799.775	527483.6167	838619.1833	669103.8917	589346.0083	582081.475	587637.1417	756087.6333	590038.9917	880594.05	792592.725	587209.6833	508827.4083	449214.4333	497319.5667	435451.8583
ko00230	2062777.311	2103735.894	2465709.333	2043275.178	1751186.369	1671659.389	1744011.144	1418889.061	1479406.817	1891364.064	1639353.328	1368892.761	2328422.781	1426231.031	1972988.456	1993600.797	1377016.486	1417284.681	1873104.808	1943097.925	1712414.972	1577964.431	1482879.014	1353520.519	1339727.997	2732075.906	3101361.386	1913047.233	3098284.369	2434547.097	2167887.447	2066865.969	2128755.842	2731761.075	2126457.403	3131665.367	2812709.275	2087759.269	1936647.639	1562704.631	1830427.844	1510175.767
ko00232	1793	2	3.666666667	5.666666667	1.333333333	2.666666667	4	1.666666667	2.666666667	3.666666667	2	2.666666667	4.666666667	7.333333333	1.666666667	3.666666667	0.666666667	3	3.666666667	2.666666667	5.666666667	4.666666667	2	5.666666667	3	4	5	4.333333333	3.666666667	2.666666667	2.666666667	4	1.333333333	4	2.666666667	5.666666667	7.333333333	10	1.666666667	520.3333333	4.666666667	512.3333333
ko00240	1395777.731	1390558.756	1703838.417	1564751.272	1215385.364	1160087.461	1225141.789	975641.9889	1028392.592	1307503.403	1133911.889	944904.0222	1596059.003	996468.7278	1350271.644	1358227.544	938104.0556	947871.2694	1247839.825	1274181.508	1129475.378	1040378.878	984627.2028	1038059.289	981255.8861	1825309.411	2695212.581	1215704.717	2219348.389	1741439.286	1576075.553	1449295.297	1504987.908	1921118.65	1490045.697	2170508.217	1956713.825	1526360.822	1331998.453	1077524.261	1184098.172	1050227.125
ko00250	801166.4667	804943.5583	957819.1417	857329.3583	722762.9583	689026.225	732469.6917	586885.5667	622929.4083	788657.75	688372.325	574040.3833	971152.1083	672585.3333	791219.0583	797174.3417	551143.3	556623.7	725585.4917	741666.2583	665183.8583	611576.85	583282.35	513128.5667	580513.1667	1059689.483	1300180.292	706268.125	1143518.092	916151.9667	806791.05	802837.45	810155.7417	1040376.458	813115.4	1210777.583	1094924.683	854645.2917	683409.55	621681.6917	687538.6667	604190.7167
ko00253	1.2	1.2	3.6	7	1.2	0.8	0.6	1.8	0	1	0.8	0.8	0.8	0.8	2	0.4	0.6	1.6	0.4	1	0.4	1.6	0.6	1.8	16	1.4	0.4	1	1.6	1.6	1.4	1	1.2	1.6	0.6	2.6	2.2	5.8	123.6	2.2	2	4.2
ko00260	1262201.864	1323701.444	1525369.672	1299123.994	1119250.356	1067069.983	1125145.817	938910.6944	976998.5361	1242391.639	1097164.433	913827.6389	1562172.361	1256418.131	1230281.817	1252811.964	865136.1528	896550.9167	1160745.639	1219554.5	1100849.567	1012348.669	968154.1833	805508.5472	873418.8222	1804997.278	1879685.711	1220145.989	1884135.942	1516199.644	1331814.011	1301693.283	1315023.811	1696176.619	1336434.117	1969311.172	1776898.528	1454645.192	1185781.325	930928.4528	1165487.611	906696.6583
ko00261	250309.275	249122.6833	303457.1167	270441.75	207419.95	198208.7833	207190.2333	167561.0833	175250.5083	223980.9333	195783.0167	163405.2167	276750.1333	158513.3583	233326.1333	235320.0417	162576.075	166445.6833	220666	227177.2333	200184.15	184665.475	172929.2667	172427.9917	159207	317068.05	446179.8333	224127.15	370136.9083	288479.7	259603.9167	243553.9167	252323.4333	323050.775	251581.8833	369246.65	330399.2	230267.0583	234180.275	189121.6917	214388.05	182419.8083
